start,stop,name,tier
54.24242587968704,54.24242587968704,%,Rhythmic
54.3657550895206,54.3657550895206,<,Rhythmic
54.57081891660673,54.57081891660673,>,Rhythmic
54.69785731048691,54.69785731048691,<,Rhythmic
54.93700432211768,54.93700432211768,>,Rhythmic
55.075457176865044,55.075457176865044,<,Rhythmic
55.22262893841622,55.22262893841622,>,Rhythmic
55.63824937367115,55.63824937367115,<,Rhythmic
55.89091730347371,55.89091730347371,>,Rhythmic
56.09512522143673,56.09512522143673,%,Rhythmic
60.666515797725324,60.666515797725324,%,Rhythmic
60.83129152365183,60.83129152365183,<,Rhythmic
61.07635131959102,61.07635131959102,>,Rhythmic
61.199242994227006,61.199242994227006,<,Rhythmic
61.43035271070662,61.43035271070662,>,Rhythmic
61.54223916074834,61.54223916074834,<,Rhythmic
61.669221478159336,61.669221478159336,>,Rhythmic
62.03986343060556,62.03986343060556,<,Rhythmic
62.286958065569706,62.286958065569706,>,Rhythmic
62.497809088604484,62.497809088604484,%,Rhythmic
68.79012167121734,68.79012167121734,%,Rhythmic
68.93400956779358,68.93400956779358,<,Rhythmic
69.12714613313695,69.12714613313695,>,Rhythmic
69.24772531955956,69.24772531955956,`<,Rhythmic
69.50280385736752,69.50280385736752,>,Rhythmic
69.623823918979,69.623823918979,<,Rhythmic
69.76904799291277,69.76904799291277,>,Rhythmic
70.16585478742958,70.16585478742958,<,Rhythmic
70.42082746759174,70.42082746759174,>,Rhythmic
70.63905625915788,70.63905625915788,%,Rhythmic
76.32056827141925,76.32056827141925,%,Rhythmic
76.45010196108166,76.45010196108166,<,Rhythmic
76.60148697751703,76.60148697751703,>,Rhythmic
76.75115165340756,76.75115165340756,<,Rhythmic
76.93110312461555,76.93110312461555,>,Rhythmic
77.05963098340435,77.05963098340435,<,Rhythmic
77.19810135739334,77.19810135739334,>,Rhythmic
77.6344428534008,77.6344428534008,<,Rhythmic
77.8827354037529,77.8827354037529,>,Rhythmic
78.07072495800942,78.07072495800942,%,Rhythmic
84.64940720414954,84.64940720414954,%,Rhythmic
84.76959917827347,84.76959917827347,<,Rhythmic
84.96851156596551,84.96851156596551,>,Rhythmic
85.11497989480046,85.11497989480046,<,Rhythmic
85.29700680246967,85.29700680246967,>,Rhythmic
85.41507118780676,85.41507118780676,<,Rhythmic
85.54187462798932,85.54187462798932,>,Rhythmic
85.94396881031456,85.94396881031456,<,Rhythmic
86.21370731149038,86.21370731149038,>,Rhythmic
86.40646099885122,86.40646099885122,%,Rhythmic
95.51343281250257,95.51343281250257,%,Rhythmic
95.61418986051767,95.61418986051767,<,Rhythmic
95.80825573633942,95.80825573633942,>,Rhythmic
95.96853196443097,95.96853196443097,<,Rhythmic
96.16801003668604,96.16801003668604,>,Rhythmic
96.28207969363639,96.28207969363639,<,Rhythmic
96.41012536315483,96.41012536315483,>,Rhythmic
96.84186909499266,96.84186909499266,<,Rhythmic
97.07831929646198,97.07831929646198,>,Rhythmic
97.26906085741065,97.26906085741065,%,Rhythmic
