start,stop,name,tier
54.31640902610011,54.31640902610011,1.) 217,F0
54.54884779227607,54.54884779227607,2.) 354,F0
54.643877228510675,54.643877228510675,3.) 315,F0
54.80517757613374,54.80517757613374,4.) 228,F0
55.04319808971586,55.04319808971586,5.) 219,F0
55.16770112758958,55.16770112758958,6.) 179,F0
55.35994846548283,55.35994846548283,7.) 181,F0
55.7535977764071,55.7535977764071,8.) 144,F0
56.04392244171525,56.04392244171525,9.) 144,F0
56.081889769530974,56.081889769530974,10.) 139,F0
60.77704822464356,60.77704822464356,1.) 163,F0
61.04883412825495,61.04883412825495,2.) 363,F0
61.15207063427788,61.15207063427788,3.) 229,F0
61.29323075475821,61.29323075475821,4.) 163,F0
61.51655870656292,61.51655870656292,5.) 156,F0
61.617688345115994,61.617688345115994,6.) 143,F0
61.79466521258388,61.79466521258388,7.) 139,F0
62.14861894751964,62.14861894751964,8.) 136,F0
62.41672379909511,62.41672379909511,9.) 137,F0
62.43648914090068,62.43648914090068,10.) 140,F0
68.885601543149,68.885601543149,1.) 172,F0
69.08960678986547,69.08960678986547,2.) 164,F0
69.20371141938487,69.20371141938487,3.) 169,F0
69.38178379575605,69.38178379575605,4.) 323,F0
69.59789104863368,69.59789104863368,5.) 207,F0
69.72755540036027,69.72755540036027,6.) 150,F0
69.90429577742677,69.90429577742677,7.) 143,F0
70.28421181831914,70.28421181831914,8.) 129,F0
70.56167260508953,70.56167260508953,9.) 129,F0
70.58334012175571,70.58334012175571,10.) 131,F0
76.40112823427165,76.40112823427165,1.) 211,F0
76.57455965713623,76.57455965713623,2.) 193,F0
76.68587838503792,76.68587838503792,3.) 184,F0
76.81679799458563,76.81679799458563,4.) 181,F0
77.02790586498132,77.02790586498132,5.) 265,F0
77.16207717535626,77.16207717535626,6.) 343,F0
77.34047643277648,77.34047643277648,7.) 211,F0
77.75778268820982,77.75778268820982,8.) 137,F0
78.01499104768271,78.01499104768271,9.) 129,F0
78.03435036337936,78.03435036337936,10.) 121,F0
84.73192758617984,84.73192758617984,1.) 184,F0
84.93729562418824,84.93729562418824,2.) 236,F0
85.04244405964853,85.04244405964853,3.) 296,F0
85.20016671283898,85.20016671283898,4.) 199,F0
85.39074825211077,85.39074825211077,5.) 211,F0
85.50739729769954,85.50739729769954,6.) 170,F0
85.67333467241032,85.67333467241032,7.) 176,F0
86.06106952817017,86.06106952817017,8.) 324,F0
86.34365594846972,86.34365594846972,9.) 135,F0
86.38144366746326,86.38144366746326,10.) 118,F0
95.5758817927102,95.5758817927102,1.) 261,F0
95.79056215494461,95.79056215494461,2.) 355,F0
95.89142112464974,95.89142112464974,3.) 316,F0
96.05922462353014,96.05922462353014,4.) 240,F0
96.26285638705271,96.26285638705271,5.) 234,F0
96.37729217153564,96.37729217153564,6.) 205,F0
96.5361396043603,96.5361396043603,7.) 198,F0
96.92846101893383,96.92846101893383,8.) 152,F0
97.20522151682657,97.20522151682657,9.) 124,F0
97.22871786688438,97.22871786688438,10.) 131,F0
102.29117733592783,102.29117733592783,1.) 170,F0
102.50535189701462,102.50535189701462,2.) 333,F0
102.62663211708816,102.62663211708816,3.) 235,F0
102.774886683608,102.774886683608,4.) 166,F0
102.99355076780354,102.99355076780354,5.) 167,F0
103.1031284340414,103.1031284340414,6.) 151,F0
103.27644234870667,103.27644234870667,7.) 142,F0
103.64756067992428,103.64756067992428,8.) 134,F0
103.91319924193876,103.91319924193876,9.) 134,F0
103.92912379420133,103.92912379420133,10.) 134,F0
110.37589216653826,110.37589216653826,1.) 193,F0
110.59232810800255,110.59232810800255,2.) 179,F0
110.68732036851657,110.68732036851657,3.) 208,F0
110.83500796945472,110.83500796945472,4.) 351,F0
111.07901357100474,111.07901357100474,5.) 193,F0
111.19138457171854,111.19138457171854,6.) 157,F0
111.3519145727383,111.3519145727383,7.) 148,F0
111.70347527497152,111.70347527497152,8.) 138,F0
111.93784907646035,111.93784907646035,9.) 133,F0
111.9619285766133,111.9619285766133,10.) 130,F0
118.23613863135307,118.23613863135307,1.) 239,F0
118.4113750033097,118.4113750033097,2.) 196,F0
118.51333071062993,118.51333071062993,3.) 187,F0
118.66307815575651,118.66307815575651,4.) 183,F0
118.86061733868944,118.86061733868944,5.) 221,F0
118.99921337832787,118.99921337832787,6.) 357,F0
119.1744497502845,119.1744497502845,7.) 195,F0
119.54828894006346,119.54828894006346,8.) 137,F0
119.78777705213272,119.78777705213272,9.) 0,F0
119.83366412449395,119.83366412449395,10.) 0,F0
125.85061622131025,125.85061622131025,1.) 190,F0
126.048666913103,126.048666913103,2.) 234,F0
126.15088662499603,126.15088662499603,3.) 280,F0
126.29801317974218,126.29801317974218,4.) 206,F0
126.50094996858397,126.50094996858397,5.) 210,F0
126.612472511513,126.612472511513,6.) 172,F0
126.77059362834754,126.77059362834754,7.) 192,F0
127.13954290096146,127.13954290096146,8.) 293,F0
127.40786964468067,127.40786964468067,9.) 131,F0
127.44620203664056,127.44620203664056,10.) 115,F0
138.01423443318134,138.01423443318134,1.) 236,F0
138.20642933731654,138.20642933731654,2.) 316,F0
138.32157450154415,138.32157450154415,3.) 298,F0
138.45376212378562,138.45376212378562,4.) 210,F0
138.66171070858763,138.66171070858763,5.) 225,F0
138.7704111051887,138.7704111051887,6.) 201,F0
138.91376959925677,138.91376959925677,7.) 195,F0
139.29343330332713,139.29343330332713,8.) 147,F0
139.556519770463,139.556519770463,9.) 138,F0
139.5943286040634,139.5943286040634,10.) 136,F0
143.34830761246067,143.34830761246067,1.) 170,F0
143.55813123412096,143.55813123412096,2.) 351,F0
143.6653744185251,143.6653744185251,3.) 206,F0
143.7834973462746,143.7834973462746,4.) 166,F0
144.0383941903656,144.0383941903656,5.) 159,F0
144.13786612952305,144.13786612952305,6.) 148,F0
144.34376578710328,144.34376578710328,7.) 127,F0
144.69117879108646,144.69117879108646,8.) 127,F0
144.90689968133748,144.90689968133748,9.) 137,F0
144.9324247430695,144.9324247430695,10.) 122,F0
150.58606006529214,150.58606006529214,1.) 197,F0
150.77445217850087,150.77445217850087,2.) 178,F0
150.8667077944449,150.8667077944449,3.) 193,F0
151.00506975091434,151.00506975091434,4.) 314,F0
151.24317857595426,151.24317857595426,5.) 195,F0
151.35759450486955,151.35759450486955,6.) 158,F0
151.5323107206456,151.5323107206456,7.) 147,F0
151.89411244181017,151.89411244181017,8.) 133,F0
152.12637965724429,152.12637965724429,9.) 133,F0
152.13811544482053,152.13811544482053,10.) 130,F0
157.6079857911444,157.6079857911444,1.) 197,F0
157.79726240170856,157.79726240170856,2.) 269,F0
157.89587710637227,157.89587710637227,3.) 252,F0
158.0358463646046,158.0358463646046,4.) 200,F0
158.2426191324478,158.2426191324478,5.) 236,F0
158.36350167364847,158.36350167364847,6.) 344,F0
158.53846324643888,158.53846324643888,7.) 198,F0
158.9281503858357,158.9281503858357,8.) 137,F0
159.19028496196577,159.19028496196577,9.) 149,F0
159.21203199802574,159.21203199802574,10.) 133,F0
164.33413468341976,164.33413468341976,1.) 239,F0
164.518324195434,164.518324195434,2.) 234,F0
164.61041895144112,164.61041895144112,3.) 240,F0
164.74621969334993,164.74621969334993,4.) 219,F0
164.94914034217916,164.94914034217916,5.) 231,F0
165.04591788239003,165.04591788239003,6.) 199,F0
165.21761996986095,165.21761996986095,7.) 204,F0
165.5828771377536,165.5828771377536,8.) 342,F0
165.86175177687957,165.86175177687957,9.) 130,F0
165.904714496574,165.904714496574,10.) 118,F0
