start,stop,name,tier
54.3657550895206,54.57081891660673,H*,Phonological
54.69785731048691,54.93700432211768,!H*,Phonological
55.075457176865044,55.22262893841622,!H*,Phonological
55.63824937367115,55.89091730347371,!H*L,Phonological
60.83129152365183,61.07635131959102,H*L,Phonological
69.24772531955956,69.50280385736752,H*L,Phonological
77.05963098340435,77.19810135739334,H*L,Phonological
84.76959917827347,84.96851156596551,>H*,Phonological
85.11497989480046,85.29700680246967,!H*,Phonological
85.41507118780676,85.54187462798932,!H*L,Phonological
85.94396881031456,86.21370731149038,H*L,Phonological
95.61418986051767,95.80825573633942,H*,Phonological
95.96853196443097,96.16801003668604,!H*,Phonological
96.28207969363639,96.41012536315483,!H*,Phonological
96.84186909499266,97.07831929646198,!H*L,Phonological
102.35615443001754,102.53763184531184,H*L,Phonological
110.71461046868991,110.9746690703419,H*L,Phonological
118.892478497227,119.03107453686543,H*L,Phonological
125.88575424727348,126.0710274750796,>H*,Phonological
126.17803873596762,126.40242877667431,!H*,Phonological
126.51504434861496,126.64761053747624,!H*L,Phonological
127.03034264061358,127.27702308716115,H*L,Phonological
138.04731716258166,138.23478596251684,H*,Phonological
138.35451393558466,138.5687639926534,!H*,Phonological
138.68219049345453,138.80979530685576,!H*,Phonological
139.20363732352627,139.42418885286173,!H*L,Phonological
143.3980435820394,143.58455346795967,H*L,Phonological
150.90147695040997,151.13803961424833,H*L,Phonological
158.26170584947948,158.39849398820655,H*L,Phonological
164.36691417284604,164.537055332249,>H*,Phonological
164.63698711135308,164.86328929844373,!H*,Phonological
164.9674309601789,165.09274572442757,!H*L,Phonological
165.47361217299937,165.72179973579821,H*L,Phonological
165.92663585093067,168.8322902494331,[END],Phonological
